route_id,number_of_buses,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,number_of_cancellations,cancellation_rate
1-318,28334,986,986,986,986,428,986,986,986,986,986,986,428,986,986,986,986,986,986,428,986,986,986,986,986,986,428,986,986,986,986,986,0,0.0
10-318,8290,278,278,278,278,196,278,278,278,278,278,278,196,278,278,278,278,278,278,196,278,278,278,278,278,278,196,278,278,278,278,278,15,0.0018094089264173703
11-318,8724,284,284,284,284,264,284,284,284,284,284,284,264,284,284,284,284,284,284,264,284,284,284,284,284,284,264,284,284,284,284,284,5,0.0005731315910132966
111-318,8534,290,290,290,290,176,290,290,290,290,290,290,176,290,290,290,290,290,290,176,290,290,290,290,290,290,176,290,290,290,290,290,9,0.0010546051089758612
114-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
12-318,9790,314,314,314,314,328,314,314,314,314,314,314,328,314,314,314,314,314,314,328,314,314,314,314,314,314,328,314,314,314,314,314,9,0.0009193054136874361
131-318,4956,164,164,164,164,132,164,164,164,164,164,164,132,164,164,164,164,164,164,132,164,164,164,164,164,164,132,164,164,164,164,164,0,0.0
138-318,3096,104,104,104,104,72,104,104,104,104,104,104,72,104,104,104,104,104,104,72,104,104,104,104,104,104,72,104,104,104,104,104,0,0.0
14-318,7844,260,260,260,260,206,260,260,260,260,260,260,206,260,260,260,260,260,260,206,260,260,260,260,260,260,206,260,260,260,260,260,8,0.0010198878123406426
140-318,1552,48,48,48,48,64,48,48,48,48,48,48,64,48,48,48,48,48,48,64,48,48,48,48,48,48,64,48,48,48,48,48,0,0.0
141-318,540,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,1,0.001851851851851852
15-318,3834,142,142,142,142,0,142,142,142,142,142,142,0,142,142,142,142,142,142,0,142,142,142,142,142,142,0,142,142,142,142,142,2,0.0005216484089723526
153-318,1068,36,36,36,36,24,36,36,36,36,36,36,24,36,36,36,36,36,36,24,36,36,36,36,36,36,24,36,36,36,36,36,0,0.0
154-318,270,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0.0
155-318,270,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0.0
158-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
16-318,5470,186,186,186,186,112,186,186,186,186,186,186,112,186,186,186,186,186,186,112,186,186,186,186,186,186,112,186,186,186,186,186,0,0.0
161-318,2862,106,106,106,106,0,106,106,106,106,106,106,0,106,106,106,106,106,106,0,106,106,106,106,106,106,0,106,106,106,106,106,0,0.0
162-318,1528,40,40,40,40,112,40,40,40,40,40,40,112,40,40,40,40,40,40,112,40,40,40,40,40,40,112,40,40,40,40,40,0,0.0
