id,text,isodate
1338131406174760961,6 Billings Bridge: The trip is cancelled from Nicholas/Daly 9:39 to Billings Bridge 9:58. Next trip is 15 minutes later.,2020-12-13T14:39:23+00:00
1338128042221252608,7 Carleton: The trip is cancelled from Nicholas/Daly 9:30 to Carleton U 9:56. Next trip is 15 minutes later.,2020-12-13T14:26:01+00:00
1338126190159290374,75 Barrhaven Centre: The trip is cancelled from Tunneys station 9:18 to Barrhaven Centre 9:47. Next trip is 15 minutes later.,2020-12-13T14:18:39+00:00
1338110867297214466,44 Hurdman: The trip is cancelled from Billings Bridge 8:33 to Hurdman station 9:00. Next trip is 30 minutes later.,2020-12-13T13:17:46+00:00
1338102642036396032,111 Carleton: The trip is cancelled from Baseline station 7:55 to Billings Bridge 8:28. Next trip is 60 minutes later.,2020-12-13T12:45:05+00:00
1338093553155760128,57 Tunneys: The trip is cancelled from Bayshore station 7:15 to Tunneys station 7:32. Next trip is 15 minutes later.,2020-12-13T12:08:58+00:00
1338091405613338626,90 Hurdman: The trip is cancelled from Greenboro station 7:09 to Hurdman station 7:39. Next trip is 35 minutes later.,2020-12-13T12:00:26+00:00
1338089754290745344,88 Hurdman: The trip is cancelled from Terry Fox station 7:07 to Hurdman station 8:06. Next trip is 30 minutes later.,2020-12-13T11:53:52+00:00
1337624423621419009,All elevators at Cyrville Station are back in service.,2020-12-12T05:04:49+00:00
1337568710387789824,O-Train Line 1: Regular service has resumed. Thank you for your patience.,2020-12-12T01:23:26+00:00
1337566503709921282,O-Train Line 1: All trains are holding for approximately 5 minutes to allow for planned electrical work.,2020-12-12T01:14:39+00:00
1337539369230606338,75 Baseline: The trip is cancelled from Tunney's Pasture station 18:20 to Baseline station 18:31. Next trip is 5 minutes later.,2020-12-11T23:26:50+00:00
1337537135361093633,6 Greenboro: The trip is cancelled from Billings Bridge station 18:05 to Greenboro station 18:30. Next trip is 13 minutes later.,2020-12-11T23:17:57+00:00
1337533461318471680,268 Kanata Lakes: The trip is cancelled from Tunney's Pasture station 17:43 to Goulbourn Forced/Badgeley 18:26. Next trip is 40 minutes later.,2020-12-11T23:03:22+00:00
1337532706184376321,All elevators are currently out of service at Cyrville station. Staff are on site at Cyrville station to assist customers requiring assistance with a shuttle service.,2020-12-11T23:00:21+00:00
1337531966456008704,99 Barrhaven: The trip is cancelled from Hurdman station 17:42 to Barrhaven Centre 18:40. Next trip is 15 minutes later.,2020-12-11T22:57:25+00:00
1337530788766736385,90 Greenboro: The trip is cancelled from Hurdman station 17:34 to Greenboro station 18:16. Next trip is 15 minutes later.,2020-12-11T22:52:44+00:00
1337529292692090880,correction - 64 Innovation: The trip is cancelled from Tunney's Pasture station 17:30 to Innovation station 18:19. Next trip is 13 minutes later.,2020-12-11T22:46:48+00:00
1337528450790420481,64 Tunney's Pasture: The trip is cancelled from Tunney's Pasture station 17:30 to Innovation station 18:19. Next trip is 13 minutes later.,2020-12-11T22:43:27+00:00
1337527226947018753,88 Hurdman: The trip is cancelled from Baseline station 17:24 to Hurdman station 18:06. Next trip is 9 minutes later.,2020-12-11T22:38:35+00:00
1337525897818218508,93 Leitrim: The trip is cancelled from Hurdman station 17:24 to Queensdale/Conroy 17:52. Next trip is 8 minutes later.,2020-12-11T22:33:18+00:00
1337524542466650116,89 Colonnade: The trip is cancelled from Tunney's Pasture station 17:23 to Merivale Depot 17:58. Next trip is 10 minutes later.,2020-12-11T22:27:55+00:00
1337523425183756289,97 Hurdman: The trip is cancelled from the Airport 17:20 to Hurdman station 17:40. Next trip is 16 minutes later.,2020-12-11T22:23:29+00:00
1337522529624330240,75 Baseline: The trip is cancelled from Tunney's Pasture station 17:20 to Baseline station 17:32. Next trip is 4 minutes later.,2020-12-11T22:19:55+00:00
1337521663785787392,75 Baseline: The trip is cancelled from Tunney's Pasture station 17:15 to Baseline station 17:27. Next trip is 4 minutes later.,2020-12-11T22:16:29+00:00
1337520636797857792,75 Baseline: The trip is cancelled from Tunney's Pasture station 17:10 to Baseline station 17:22. Next trip is 4 minutes later.,2020-12-11T22:12:24+00:00
1337519751048912897,97 Airport: The trip is cancelled from Hurdman station 16:55 to the Airport 17:17. Next trip is 15 minutes later.,2020-12-11T22:08:53+00:00
1337516191431208960,57 Tunney's Pasture: The trip is cancelled from Bayshore station 16:55 to Tunney's Pasture station 17:16. Next trip is 13 minutes later.,2020-12-11T21:54:44+00:00
1337514549776408581,75 Baseline: The trip is cancelled from Tunney's Pasture station 16:55 to Baseline station 17:07. Next trip is 1 minute later.,2020-12-11T21:48:13+00:00
1337513103223910403,111 Baseline: The trip is cancelled from Carletion University 16:46 to Baseline station 17:33. Next trip is 23 minutes later.,2020-12-11T21:42:28+00:00
1337511207453003777,75 Baseline: The trip is cancelled from Tunney's Pasture station 16:40 to Baseline station 16:52. Next trip is 3 minutes later.,2020-12-11T21:34:56+00:00
1337509943709224961,198 Leitrim: The trip is cancelled from Riverview station 16:46 to River/Leitrim 16:49. Next trip is 29 minutes later.,2020-12-11T21:29:54+00:00
1337507472228093952,88 Hurdman: The trip is cancelled from Baseline station 16:06 to Hurdman station 16:49. Next trip is 9 minutes later.,2020-12-11T21:20:05+00:00
1337505597588172803,74 Riverview: The trip is re-instated from Tunney's Pasture station 16:03 to Riverview station 16:42.,2020-12-11T21:12:38+00:00
1337503880809213961,74 Riverview: The trip is cancelled from Tunney's Pasture station 16:03 to Riverview station 16:42. Next trip is 16 minutes later.,2020-12-11T21:05:49+00:00
1337502546521452544,256 Bridlewood: The trip is cancelled from Parliament station 16:04 to Akerson/Barrick Hill 16:52. Next trip is 15 minutes later.,2020-12-11T21:00:31+00:00
1337501332459155457,88 Bells Corners: The trip is cancelled from Hurdman station 15:52 to Moodie/Hadley 16:58. Next trip is 20 minutes later.,2020-12-11T20:55:41+00:00
1337498058574192641,88 Terry Fox: The trip is cancelled from Baseline station 15:51 to Terry Fox station 16:40. Next trip is 20 minutes later.,2020-12-11T20:42:41+00:00
1337497202743259139,correction - 2 Bayview: The trip is cancelled from South Keys station 15:29 to Carleton University 15:41. Next trip is 6 minutes later.,2020-12-11T20:39:17+00:00
1337496553376931843,2 Bayview: The trip is cancelled from South Keys station 15:29 to Carleton University 15:41. Next trip is 16 minutes later.,2020-12-11T20:36:42+00:00
1337494176032845828,236 Esprit: The trip is cancelled from Blair station 15:35 to Lakeridge/Vistapark 16:06. Next trip is 15 minutes later.,2020-12-11T20:27:15+00:00
1337467723245350919,98 Hurdman: The trip is cancelled from Hunt Club/Hawthorne 13:53 to Hurdman station 14:28. Next trip is 15 minutes later.,2020-12-11T18:42:08+00:00
1337466474831749121,97 Hurdman: The trip is cancelled from the Airport 13:42 to Hurdman station 14:01. Next trip is 15 minutes later.,2020-12-11T18:37:11+00:00
1337465055374405634,85 Bayshore: The trip is cancelled from Terrasses de la Chaudière 13:01 to Bayshore station 13:52. Next trip is 15 minutes later.,2020-12-11T18:31:32+00:00
1337461916185321472,97 Airport: The trip is cancelled from Hurdman station 13:21 to the Airport 13:40. Next trip is 15 minutes later.,2020-12-11T18:19:04+00:00
1337459077866250240,98 Hawthorne: The trip is cancelled from Hurdman station 13:14 to Hunt Club/Hawthorne 13:48. Next trip is 15 minutes later.,2020-12-11T18:07:47+00:00
1337457724951588868,correction - 75 Barrhaven Centre: The trip is cancelled from Tunney's Pasture station 12:28 to Mintro centre 13:11. Next trip is 15 minutes later.,2020-12-11T18:02:25+00:00
1337456833695535107,75 Barrhaven Centre: The trip is cancelled from Tunney's Pasture station 12:28 to Riverview station 13:11. Next trip is 15 minutes later.,2020-12-11T17:58:52+00:00
1337440379524820993,111 Carleton: The trip is cancelled from Baseline station 11:37 to Carleton University 12:21. Next trip is 15 minutes later.,2020-12-11T16:53:29+00:00
1337438826554417155,83 Tunney's Pasture: The trip is cancelled from Viewmount/Grant Carman 11:29 to Tunney's Pasture station 11:59. Next trip is 30 minutes later.,2020-12-11T16:47:19+00:00
1337435957897916416,6 Rockcliffe: The trip is re-instated from Billings Bridge station 11:05 to Maple Lane/Springfield 11:59.,2020-12-11T16:35:55+00:00
1337435081460297731,6 Rockcliffe: The trip is cancelled from Billings Bridge station 11:05 to Maple Lane/Springfield 11:59. Next trip is 14 minutes later.,2020-12-11T16:32:26+00:00
1337424825330130945,83 Viewmount: The trip is cancelled from Tunney's Pasture station 10:59 to Viewmount/Grant Carman 11:24. Next trip is 30 minutes later.,2020-12-11T15:51:41+00:00
1337385863395893248,88 Terry Fox: The trip is restored between Hurdman station 8:52 and Terry Fox station 10:06.,2020-12-11T13:16:51+00:00
1337385224796336129,88 Terry Fox: The trip is cancelled from Hurdman station 8:52 to Terry Fox station 10:06. Next trip is 15 minutes later.,2020-12-11T13:14:19+00:00
1337384661123731458,88 Hurdman: The trip is cancelled from Baseline Station 8:07 to Hurdman Station 8:45. Next trip is 14 minutes later.,2020-12-11T13:12:05+00:00
1337383969097199617,7 Parliament: The trip is cancelled from Brittany/Montreal 8:20 to Parliament/Parlement station 8:57. Next trip is 23 minutes later.,2020-12-11T13:09:20+00:00
1337382778388746240,53 Carlington: The trip is cancelled from Tunney's Pasture station 8:12 to Caldwell/Medford 8:38. Next trip is 14 minutes later.,2020-12-11T13:04:36+00:00
1337382593403215872,61 Gatineau: The trip is cancelled from Terry Fox station 8h11 to Terrasses de la Chaudiere 9h03. Next trip is 21 minutes later.,2020-12-11T13:03:52+00:00
1337382566425485314,7 Parliament: The trip is cancelled from Lansdowne Park 8:10 to Daly/Nicholas 8:39. Next trip is 8 minutes later.,2020-12-11T13:03:45+00:00
1337382205232967681,"7 St-Laurent: The trip is cancelled from Carleton ""U"" 8:21 to St-Laurent station 9:38. Next trip is 15 minutes later.",2020-12-11T13:02:19+00:00
1337381630231650306,111 Carleton: The trip is cancelled from Baseline station 8:10 to Carleton U 9:00. Next trip is 11 minutes later.,2020-12-11T13:00:02+00:00
1337379409922297864,80 Tunney's Pasture: The trip is cancelled from McFarlane/Deakin 8:05 to Tunney's Pasture station 8:48 Next trip is 12 minutes later.,2020-12-11T12:51:13+00:00
